,School,comment,Validated_Labels
439,Williams,i don’t think any work well. i had a tough time both times i tried using the college’s resources and ended up using teledoc to get a off-label prescription for a heart drug that somewhat helps with anxiety (teladoc didn’t have a psychiatrist so i resorted to a family doctor),DISSATISFIED
440,UIC,sometimes student groups hold events to kind of give the students a break from school work and have a little distraction,SATISFIED
441,UT Dallas,"i haven’t used any of the services, but in my freshman year i heard great things about our addiction counseling. there was a presentation where they  made sure to be very inclusive and open. their services doesn’t limit addiction to substance abuse. big gaming campus, so i know a lot of people can be helped there. 
",SATISFIED
442,Penn State,"as far as i’m aware, we have no mental health counciling. or really help of any kind for the student body. ",DISSATISFIED
443,Miss. State,i believe that the directions to the office and the site should be more publicized ,DISSATISFIED
444,Barnard,"there are wellness activities throughout the semester and especially during high stress periods. it is difficult for me to find long term therapy on campus because i am on my personal insurance, and long term on campus resources only apply to those on barnard insurance. ",MIXED
445,UMass Amherst,"ccph is understaffed and underfunded to serve the entire umass community. the programs in place are advertised to students, but the therapy itself is largely inaccessible and unprofessional. ",DISSATISFIED
446,Rio Salado College,counseling is honestly really helpful and now you can contact through email and zoom meetings since many of us still fear going out a lot ,SATISFIED
447,Washington State,outreach about mental health has been good. more resources would be better,MIXED
448,Barnard,i think the college does a good job of letting people know where they can get certain services but they could work on making those services more accessible and also more approachable,MIXED
449,University of North Carolina at Charlotte,the school's caps program overall is ok. sessions are very limited so right when i felt i was finally making progress i hit the limit on my sessions for the semester.,MIXED
450,Arizona State,"i really don't know because i have never used any of their mental health services. i know asu has quite a variety of services, but i've never checked them out.",NEUTRAL
451,University of Nevada-Reno,i think it would be helpful if they advertise any mental health support options they do have more.,DISSATISFIED
452,Arizona State,"the counselors are extremely nice and willing to talk, i just sometimes there were more qualified therapists that i could see long term.",MIXED
453,Kansas State University,referring everyone to group workshops is not a solution for each individual. ,DISSATISFIED
454,Stony Brook University,i like the idea of caps but it seems very small compared to the need on a large campus. i have looked at it before but not sure if they had someone who could help for what i am looking for. ,DISSATISFIED
455,Arizona State,i have not used any mental health or wellness supports from asu as i am an online student and have a personal therapist. there needs to be more support groups whether it is on sundevilsync or on facebook for everyone to share their mental struggles and we not asking about academics. ,DISSATISFIED
456,Cecil College,"different diagnosis, and help for them. some tips for struggling student who have weight on their shoulders from familu",MIXED
457,NC State,i would use counseling services if they were in person not on zoom,DISSATISFIED
458,Phoenix College,i'm not really sure. i think it could improve on mental health more.,DISSATISFIED
459,Iowa Central Community College,"i talked to the counselor on staff.  we were able to talk about the challenges as mental health professionals, but itnwas hard to connect to them on a student level.",MIXED
460,Ohio Northern,they have a 24-hour hotline and a counseling center. i don't know.,NEUTRAL
461,University of Arizona,"the services are intimidating to even learn about online, and expensive. it's futile to have mental health services if they aren't free; financial struggles are some of the biggest stressors leading to mental health crises.....",DISSATISFIED
462,Arizona State,i am not sure as i have not used my university for help with mental health.,NEUTRAL
463,Florida,more action to supporting mental health as opposed to verbally promoting it,DISSATISFIED
464,Earlham College,"the psychiatric nurse practitioner is relatively accessible, which is good considering so many students have no access to healthcare outside of campus. everything besides that needs more attention. there is no easy-to-find/access on-campus support for students who need to find a real therapist, which leads to these students receiving no mental healthcare because they have had such poor experiences with counseling services. earlham needs someone who is dedicated to connecting students with in-network licensed therapists who they can continue to see during breaks and after graduation, ensuring continuity of care. ",DISSATISFIED
465,Temple,"tuttleman counseling is nice when you have access to a counselor, but not many people seem to have the privilege of that, since many are referred out. i think there should be more done related to trauma and news, such as racially-charged incidents ",DISSATISFIED
466,Alabama,i understand counseling is a profession but we pay so much in tuition and counseling on campus still costs money. many don’t seek help because they cannot afford it due to the insane tuition prices they’re already paying. ,DISSATISFIED
467,Vermont,the counseling staff and system is overwhelmed and it’s hard to actually get help from it,DISSATISFIED
468,Ulster County Community College,i feel that the mental health services could be better expanded on campus ,DISSATISFIED
469,New York University,everything needs more attention. i have a ton of friends with the same negative opinion and worse experiences with the nyu wellness center.,DISSATISFIED
470,Claremont McKenna College,counseling center is actually pretty decent this year. more options would be nice. ,MIXED
471,Rowan,i'm not sure. i haven't used any resources yet but i am currently looking into them ,NEUTRAL
472,Arizona State,"i haven’t been provided with very many services or supports, but it would be nice to have a mediator system to be able to mediate mental health discussions with resistant professors to be heard better",DISSATISFIED
473,Carnegie Mellon,due to my limited experience i am unable to give accurate info regarding this issue,NEUTRAL
474,Atlantic Cape Community College,"im a rather new student so i can't say anything for certain. i can tell you that after being on campus for a semester, i know next to nothing about the mental health program here. i don't really need it (i seek counseling out of school) but it would be nice to know about for those that do. ",DISSATISFIED
475,Carnegie Mellon,the petting zoos and puppies are highly therapeutic. wish there were more of these opportunities ,MIXED
476,WashU,i’ve never used any of the services but most students find the services provided by the university as extremely unhelpful. ,DISSATISFIED
477,Ithaca College,i'm not sure because i have not tried to receive mental health services or supports from my college.,NEUTRAL
478,Johnson County Community College,i am online so i don’t really go in person. i’ve never looked into these things because i didn’t know they were there. it probably has been sent to me as information in an email but i never saw it. definitely will be looking into it. ,NEUTRAL
479,Arizona State,i feel that the in person counseling services are very accessible. i feel like there is very little awareness of the limitations of the campus counseling and what steps a student should take to get help beyond steps 1 or 2.,MIXED
480,SOWELA Technical Community College,telecommunication for mental health is discrete and ran well but could reach out more to the students for those who are nervous to ask for help.,MIXED
481,UMass Amherst,group counseling is good. availability of individual counseling is dismal at best ,MIXED
482,UC Davis,i wish there were more counseling in person appointments with a therapist. it is hard to schedule an appointment and hard to find one that aligns with your needs ,DISSATISFIED
483,Arizona State,"i haven’t used these services yet, but aspects of mental health that need more attention is group wellness activities.",DISSATISFIED
484,Penn State,"i haven't personally used any of the services, so i feel as though i am not qualified to answer this question. ",NEUTRAL
485,Moody Bible Institute,the mts counseling center is flexible with their pricing which i really appreciate. i think that there needs to be more map instructions/how to get to counseling's physical locations in the counseling posters. ,MIXED
486,Ohio State,"i like the counseling that is offered but wish there was a way (covered by insurance) to get my medications. it’s so hard to get a psychiatrist appointment right now, and even harder to find ones that are covered. ",DISSATISFIED
487,UPenn,"the counselors and psychiatrists work very well when you can get an appointment. however, you generally have to wait weeks or months to get a first appointment and the physical location of the services is so far away from campus.",MIXED
488,Wofford College,"i think our staff is great, just limited in time. appointments are booked out months in advance. ",MIXED
489,University of Minnesota,info on how to access mental health support on campus should be more readily available and widely discussed. there should also be more resources for getting diagnosis,DISSATISFIED
490,Pepperdine University,"there are a lot of surface level mental health initiatives: therapy dogs, free face masks (for spa, not for covid) offered, etc. little actual counseling referrals. ",DISSATISFIED
491,Lafayette College,"i think that it is really good that a lot of professors encourage and advertise mental health services available on campus. that being said, i only hear this at the beginning of the course and no other times afterwards. furthermore, the resources for health services are only open on weekdays and it is so tedious to find where and how to schedule a time slot. and on top of that, i felt that the time when i went to visit the mental health center at the school, i felt that it lacked life and that i was talking to a robot.",DISSATISFIED
492,Virginia Polytechnic Institute and State University,"the campus needs better psychiatrists, the one i got wanted to increase my dose of medication every time, even if it hadn't worked in the past. ",DISSATISFIED
493,UTEP,i feel that every aspect of that utep  has on mental health is going well. it would be nice to see more advertisements of our mental health resources on and off campus that are offered. ,MIXED
494,UB,"i personally liked meeting with a counselor 1 on 1, i guess just expanding that overall would make things even better",MIXED
495,Southern Methodist University,i started attending teletherapy through smu during fall 2021. it helped a little at first but i have not been since the beginning of the spring semester.,SATISFIED
496,CU Boulder,i think it could have more staff to tell everyone about what is mental health and when do you need it,DISSATISFIED
497,UIC,"i have not used any of them, but i heard that my classmates really appreciate the services that the college offers. although i do feel that they should advertise these services more. ",MIXED
498,Housatonic Community College,"the aspects of the mental health and wellness that need more attention are more professional counselors that can attend to the students who would like to make an appointment to discuss their mental health. right now there are only 2-3 counselors available that attend to the 3,000 students on campus which sounds stressful enough as it is and having more counselors at the school, regardless of what race or gender a counselor is, will be beneficial to the students. ",DISSATISFIED
499,UNC,i think the loads of options are working well. i heard from peers though that the advice given from caps haven't been particularly helpful though.,MIXED
500,Virginia Polytechnic Institute and State University,"i guess they offer help, but i've heard the health center is rather costly",MIXED
501,Rutgers,"free counseling and certain support groups. 

more wellness activities / interventions need more attention.",MIXED
502,Auburn,"i don’t really know, but i do like the fun social events offered by the school.",SATISFIED
503,Virginia,i heard that other students are not having good experiences with caps,DISSATISFIED
504,University of Illinois at Urbana-Champaign,"none, they suck at advertising wellness services aviabliety. and it difficult to get appointments ",DISSATISFIED
505,Oberlin,"current counseling services are lacking. would much prefer off campus counseling, also gives students a chance to get off campus, which in of itself feels like a suffocating prison surrounded by crime if you leave to the east ",DISSATISFIED
506,Rowan,"the limited resources work well, more expanded resources needed as campus expands",MIXED
507,Boston College,"they are direly understaffed in terms of therapists, many of my friends struggle to make even a first appointment. ",DISSATISFIED
508,Stony Brook University,they have a lot but i don't know much about them in general since i don't use them.,NEUTRAL
509,UB,i don’t know due to the reason i have not had any personal experience with it,NEUTRAL
510,UT Austin,"we need more counselors, but all of them are great. group counseling is very good and relevant and the mind body labs are very helpful and accessible. ",SATISFIED
511,Clemson,i am able to see a psychologist on campus. i think there needs to be more access for non student athletes,MIXED
512,Arizona State,"unfortunately, i am not taking advantage of any support provided my college. i am completely unaware of what is available, and i wish i knew more about what was available.",NEUTRAL
513,IU,"i don't think any of it is working ""well."" iu needs more counselors and psychiatrists and better counselors and psychiatrists. if you are only going to offer help for those struggling on average low mental health rather than those struggling with real mental illnesses, say that. they need to have people on staff that can diagnose and actually help those with personality disorders, schizophrenia,  etc.",DISSATISFIED
514,University of Maryland-College Park,the service that is working well is  the counseling that is provided in campus,SATISFIED
515,Muhlenberg College,the counseling service is free so that is nice and always a resource.,SATISFIED
516,Baylor,the access to mental health resources but the awareness to these need more attention ,MIXED
517,California State University--Fresno,i really enjoy the wednesday wellnesses where they hang out fruit to keep us healthy,SATISFIED
518,IU,there is caps but there is only one free session and there is not a lot of compatibility with insurance providers making it very hard to get help. ,DISSATISFIED
519,WashU,the habif mental health staff need more attention. there is such little staff that appointments are rare. uncle joes is a good resource but students shouldn’t have to rely on peers due to inaccessibility to professional mental health services on campus.,DISSATISFIED
520,Goshen College,i think during freshman orientation you should connect the students with the  counselors and show them how they can sign up for meetings and stuff  ,DISSATISFIED
521,UMich,a hotline would be good. when i've been struggling with my mental health before i just wanted to call someone.,DISSATISFIED
522,Washington State,"the counseling office is small and can't accommodate the number of students who are seeking mental health counseling. it makes it extremely difficult to get an appointment. as a student studying abroad right now, i do not feel like i have any support or connection to the mental health services at wsu.",DISSATISFIED
523,Arizona State,"there are issues with certain individuals who run the counseling program and how they interact with their patients. at times, it feels inappropriate.",DISSATISFIED
524,Brigham Young University-Provo,"byu has a nice counseling center; however, the staff is lacking, so waiting lists have always been long. i used the services before the pandemic and waiting lists would still require at least a month of waiting. i wish they could have sent me to another therapist outside of the school. byu's biofeedback resources are helpful, but most students don't understand their accessibility.",DISSATISFIED
525,New York University,"honestly there isn’t much. they talk a big game, but there’s no support in reality. ",DISSATISFIED
526,UTEP,i have never felt comfortable enough to use these services although i do know they exist,DISSATISFIED
527,UC Davis,"the resources are top notch when you are able to access them, although unfortunately it is so difficult to even try to get an appointment because they are all booked constantly!!!!!!!!!!",DISSATISFIED
528,UC Berkeley,i've never been able to make an appointment despite trying. the ability to make an appointment online without calling a number would be extremely helpful. also just more appointments being available.,DISSATISFIED
529,Rochester,"i have no idea, but i have not heard of anyone having success with university mental health services",DISSATISFIED
530,Arizona State,i can think of one thing that works well. but as an online student referrals to services near me would be great.,MIXED
531,EKU,"whenever i’ve tried making an appointment with my colleges therapists, they never really have time slots available when i’m available, so i think it might help if they had more therapists available during more times throughout the day ",DISSATISFIED
532,UTK,"i know my college campus provides some therapists on-campus for students, which is great. however, i have heard from others that the service is very, very limited. you can only have a certain amount of appointments, and the amount of therapists is too small. ",MIXED
533,Southern Union State Community College,i feel like having more professsionals available online and in person on campus to speak to would help a lot with not just mental health but other resources as well.,DISSATISFIED
534,Hamilton College,the peer counselors work well. more professional help could be improved for people who need it.,MIXED
535,University of Alabama at Birmingham,awareness. like i feel like i know the resources my school has for mental health ,SATISFIED
536,Mercer ,"offering caps is a great way to provide wellness. however, the resource is the only thing offered regarding mental health, and more students than ever are suffering. there needs to be other options besides caps, which only benefits certain people, but definitely not all.",DISSATISFIED
537,Colby,"i think diversity of staff definitely needs more attention, especially training on racial issues on campus.",DISSATISFIED
538,Tufts,"mental health and wellness for bipoc folk. among this community, more support needs to be available for fgli students and international students",DISSATISFIED
539,Arizona State,"i know there is an oncampus therapist, they can do a better job spreading the word about what’s available ",DISSATISFIED
540,George Mason University,i think college does a great job with weekly emails and information spread throughout the campus through various announcements and posters. i think the grade and time management needs more attention.,SATISFIED
541,Arizona State,on campus therapists are hard to make appointments with and lack training required to help students. teachers are not understanding even when students have accommodations.,DISSATISFIED
542,MIT,expertise - i felt like i was talking to myself and solving my problems because my therapist didn’t give a professional opinion at a time when i thought i had many things wrong with me and needed clarity. ,DISSATISFIED
543,Syracuse,syracuse does not care much for the mental health of its students who are drowning in debt thanks to the renovation of the carrier dome. ,DISSATISFIED
544,Haverford College,while caps is doing a good job it is my understanding that they need additional resources to better serve the college community ,MIXED
545,UConn,i think the activites that are held around campus. they send emails to invite students to talk about their mental health,SATISFIED
546,Arizona State,"counseling and therapy need more attention, when i went it seemed like the therapist didn't care",DISSATISFIED
547,San Diego State University,the telehealth line takes too long and seems overly complicated for someone like me (a severely anxious person). it would be nice if there were easier accessible online options for students that didn't just involve a phone call/zoom session where i have no idea what to say or do - especially as someone seeking mental health services for the first time.,DISSATISFIED
548,Virginia,the waitlist is far too long for anyone to reliably get into caps.,DISSATISFIED
549,Miami University,there is a long waitlist to see a counselor but i think it’s good that the first sessions are free. ,MIXED
550,Oregon,i think virtual counseling/telecounseling through zoom has been extremely helpful because more students are willing to seek help when they don’t have to meet the counselor in person due to anxiety and other reasons.,SATISFIED
551,University of Arizona,focus on taking care of yourself has been emphasized. understanding what happens if you do need to get help and what comes next is lacking.,MIXED
552,University of Nebraska-Lincoln,"i think we have counselors, but otherwise, i don't know these resources.",NEUTRAL
553,Haverford College,"not sure... i talk to family and friends about personal issues, not the school",NEUTRAL
554,Santa Clara University,i think the wellness chat that is offered commonly during the week by the cfs works well,SATISFIED
555,Arizona State,"from what i know, the only type of mental support that exists on my campus is the counseling services we can go to but that's about it. definitely need to provide a variety of options to seek mental health",MIXED
556,New York University,i wouldn’t know given that i haven’t sought out mental health help from my college.,NEUTRAL
557,UB,i haven't used any of the services at my school but many other students say there should be more,DISSATISFIED
558,Laramie County Community College,i think they are doing well about letting you know that there are resources available if you are struggling.,SATISFIED
559,Brandeis,accessing the bcc is complicated. transportation should be expanded to more locations to help people access off campus therapists ,DISSATISFIED
560,Alabama,"the crisis line has been helpful to my friends that need it, but affordable access to on campus counseling services would help greatly ",MIXED
561,UPenn,none work in my opinion. caps was unable to find me a therapist and my only request was a female therapist. so disappointing and embarrassing or penn.,DISSATISFIED
562,Arizona State,the counseling center is very accessible and affordable. i wish there were more remote options for counseling.,MIXED
563,Holmes Community College,"it would be pretty cool if we had diagnostics from professionals- like having the ability to have someone check your mental health. not a lot of families allow their children to get a mental diagnosis, and that leads students concerned- not knowing if they are just going insane or actually have a mental disorder.",DISSATISFIED
564,Sterling College (2),mental health or wellness services and supports provided by my college that are working well are their free on-campus counseling and using tele-health services when needed. aspects of mental health and wellness that need more attention are the diversity of the counseling staff and the inability to prescribe medications as a part of the college.,MIXED
565,University of Arizona,"caps system seems to be working, i wish that they were more clear on their physical location operating hours",MIXED
566,Boise State University,i personally struggle with anxiety so i wish there was more coverage or programs available for that,DISSATISFIED
567,UB,counseling works well but communication on how to access it could be better,MIXED
568,Rowan,group therapy options are large on campus. both student run informal and ones run by professionals,SATISFIED
569,Syracuse,tele support is working well for students with anxiety or schedule conflict ,SATISFIED
570,College of DuPage,i would have never known that counseling actually would help with mental issues because it is more known for academic counseling. ,SATISFIED
571,College of the Sequoias,"i have not used any programs, but i have noticed their availability and the schools encouragement to utilize those services. i think they have done incredibly well, but making private, over the phone resources more well known would be helpful.",MIXED
572,Ohio State,"students are advocating for themselves and their peers and the university addresses the fact that they need more mental health resources. at this point, we just need them to take action and do something about it.",DISSATISFIED
573,Arizona State,the telehealth services appear to be working great and i am glad asu provides free therapy sessions for students.,SATISFIED
574,University of Maryland-College Park,what works well is the groups students create to talk about our struggles.,SATISFIED
575,University of Arkansas,i think urec has done an excellent job with incorporating more group fitness yoga classes. that seems to benefit so many people. ,SATISFIED
576,BGSU,everything is working well and bgsu addresses every mental health concern equally.,SATISFIED
577,University of Nevada-Reno,the counseling center is great because they allow you to talk to someone the same day. there are also days where we can go out and talk to someone. they could use more attention with being able to create a more diverse schedule or allowing to book a few days ina d vance ,MIXED
578,UCLA,"the only service i have used is a therapy telesession, and it overall went pretty wellz.",SATISFIED
579,Barnard,"follow up on scheduling counseling appointments could use a lot of improvement
",DISSATISFIED
580,Florida International University,telecounseling reaches many students who don’t live close to campus. i personally like to go to in person counseling because i like real one in one interaction. ,MIXED
581,University of Nevada-Reno,the counseling center does great work but the hours are sometimes a bit limited.,MIXED
582,Virginia,"many students have complained that the therapists and counseling services offered through the university are unhelpful at best. therapists are described as apathetic and dismissive of issues, while the pace of referrals and appointments is extremely sluggish. ",DISSATISFIED
583,University of Arizona,there needs to be more diversity in terms of counselors available to students. ,DISSATISFIED
584,Washington State,i actually haven’t used them because i’m not used to ask for help when i have to ,NEUTRAL
585,University of Washington,"i don't know, i do not use mental health resources provided at my university.",NEUTRAL
586,Miami University,only time i've had experience with these services was when my professor let the school know i was going though a difficult time so you guys reached out. that was nice because it was prompt and helpful,SATISFIED
587,Arizona State,"the daily health check is useless and is likely a legality, although i have enjoyed in-person counceling",MIXED
588,University of Arizona,"the counseling is good but there aren't enough counselors, the college should hire more. wait times to see a counselor are four weeks right now",DISSATISFIED
589,University of Arizona,the caps is working well. it's good with counseling but struggling on diagnosing and giving medication,MIXED
590,Arizona State,i am not aware of any mental health counseling or support on campus. communicating that these resources are available should be increased beyond just mass emails. advisors should be contacting students and/or mentioning the provided services as well as how to utilize them when helping students pick classes or whatever they may be speaking about.,DISSATISFIED
591,Virginia Polytechnic Institute and State University,the social media pages are pretty helpful talking about wellness and spreading awareness,SATISFIED
592,Arizona State,"the website and app seems helpful, but a little confusing! i tried to find a counselor, but then i got too busy and it didn’t work out, so i don’t have too much experience with it! ",NEUTRAL
593,UB,"there are many psychological consultants available for appointment, and you can talk about your troubles at any time.",SATISFIED
594,Ohio State,they send out a weekly newsletter and help reach out of ways you can feel closer to people right now,SATISFIED
595,UB,"unsure since i haven't used any of said services , although i have heard mental health services have ridiculous wait times.",DISSATISFIED
596,UMich,counseling is widely available but could be improved in terms of quality,MIXED
597,UNC,need health services that aren’t necessarily people who are on campus so that we could have more privacy.  that is why i’m not using the services provided.  more privacy,DISSATISFIED
598,William & Mary,i feel a lack of accessibility to mental health aid because of the lack of availability appointments.,DISSATISFIED
599,Purdue University-Main Campus,"i like how they promote the services, but the caps system isn't great. i have to call them, and i can never find a place to call them alone, meaning i have to call while around other people, which is very stressful. i wish they would accept emails or forms to register instead, as i don't feel comfortable telling the people around me that i need help with my mental health.",DISSATISFIED
600,Florida,"zoom counseling is available if needed for a few free sessions. however, it's done by people who are just learning so it's somewhat limited. psychiatry and other services are done by referral through the original counselor or through a third party and feel out of reach.",DISSATISFIED
601,University of Minnesota,i genuinely can’t think of any resource that is actually timely and helpful. there are next to no counseling sessions available since every single one of the sessions is booked. paws is a bs program that is only a temporary solution to a difficult and complex issue ,DISSATISFIED
602,Carnegie Mellon,caps does not really work and it somehow worsen the situation. i talk to my academic advisor about my personal issues and she has been really caring,MIXED
603,Sewanee-The University of the South,"in general, there's lots of availability for individual counseling for mild mental illness, but trying to get help for particular issues is difficult because we aren't given bios for therapists. (we also aren't able to choose who we see.) i've already gone through several therapists because it hasn't been made clear to me that they don't specialize in what i need help with until a few sessions in.",DISSATISFIED
604,Ohio State,students shouldn't be put on a waitlist for months when they apply for student counseling. there should be enough staff to provide students with immediate help,DISSATISFIED
605,Arizona State,"the free counseling sucked, they need more faculty and especially more diverse faculty.  it got to a point where they were more focused on sending me to an off campus therapist than making sure i am taking care of myself and i dreaded talking to them.  they need to have an actual on-campus option.  i don't have a therapist because they're all so expensive and the on-campus staff is only really focused on short term rather than long term solutions.",DISSATISFIED
606,University of Arizona,i think the cost of some mental health resources is what is not working well. our diversity of the counselors can be improved upon because some people are more comfortable with a woman over a man or need someone closer to them in race/ethnicity. ,DISSATISFIED
607,Washington Adventist University,"telehealth has helped me alot with my mental health issues. however, i wish we had in-person counselors on campus because it is not the same talking to someone over a zoom call or on the phone as in person. ",MIXED
608,Oberlin,"i really like my therapist, and i've been able to switch around until i found somebody i liked, but i'm having to wait over a month for a psychiatry appointment. ",MIXED
609,UB,i’m not sure because i do not use any :/ i have heard people find it difficult to get quick appointments (usually a long wait),DISSATISFIED
610,Arizona State,"ultimately, i believe that my university is very well educated on and equipped for offering diverse and more than sufficient mental health resources, and it now comes down to student choice and students approaching and accepting the proffered help.",SATISFIED
611,Oregon,i don't know as i have not paid much attention to it due to being a remote student,NEUTRAL
612,Arizona State,i haven't had good experiences with the asu counseling services. i think they need better trained counselors.,DISSATISFIED
613,Stony Brook University,i like the addition of having animal interactions everything else i’m not sure about,SATISFIED
614,Mercer ,"they seem like they're trying their best but there just aren't enough counselors that can do the job that the students need
",DISSATISFIED
615,Rowan,"the mental health services in the wellness center are really good, as there are many different options for treatment. however, the college sometimes has a difficult time communicating these resources with the student population ",MIXED
616,Haverford College,i don't really use any of the services on campus but i've heard from friends that they just aren't very good at what they do? i'm also aware that it's really hard to get an appointment and get a therapist on campus,DISSATISFIED
617,Virginia,"the counselor i saw was very kind and helpful in connecting me to resources. however, emergency services are lacking and therapy visits can only do so much for the overall wellness of the student community.",MIXED
618,Michigan State University,"the online counseling offered works pretty well, but i did feel rushed to only do it temporarily.",MIXED
619,Bucknell University,"there are just not enough services available, a long wait time is not helpful for some people and makes their mental health worse",DISSATISFIED
620,Columbia,they are bad. im paying 400 fee for them to just refer me off campus.,DISSATISFIED
621,Arizona State,"i hardly hear about the resources available concerning mental health.they are either nonexistent, too few or not well advertised.",DISSATISFIED
622,Michigan State University,literally nothing caps is full and they ghosted me after saying i could go off campus. i don’t have a car and i can’t do that.,DISSATISFIED
623,Temple,"i think the counseling service is a good option, but its accessibility is lacking ",MIXED
624,Three Rivers College,there is one counselor that the college pays for (until fall semester this year) named ryan walker and he's been great. i just feel it's not a good idea to have 1 person for thousands of students. ,MIXED
625,Barnard,"i think it would be more helpful to increase the amount of psychiatric services provided. i really appreciated that they were available, but getting access to them was very challenging, and they weren't a long-term solution, which was frustrating.",DISSATISFIED
626,Ithaca College,"to my understanding counseling is intended to be short-term and goal based, regularly scheduled consistent therapy counseling is not offered which is an issue. ",DISSATISFIED
627,University of Cincinnati-Main Campus,"not sure, i have not utilized any of them at this time.",NEUTRAL
628,Arizona State,"i know that they have several different options for talking to a counselor. however, there are many more students per councilor, which is likely one of the reasons that several suicides on campus have occurred from the lack of actual availability. in addition, dispite the reduced cost, therapy is still expensive, especially if you have long term issues like i do.",DISSATISFIED
629,Florida International University,more specific types of mental health issues rather than umbrella terms and diagnosis’s ,DISSATISFIED
630,University of Minnesota,it is fairly easy to get in for an intake appointment. there are usually opening within a week or so.,SATISFIED
631,Middlebury College,"telehealth counseling with on-campus, middlebury-hired counselors is working alright. i am hoping that post-covid, there will be more agency in choice to go in-person or maintain online counseling.",MIXED
632,Williams,"the fact that talkspace is offered is nice, the fact that iws cannot fill their staff properly is terrible",MIXED
633,Arizona State,i think the free counciling  has allowed more students to reach out and try services like that,SATISFIED
634,UT Dallas,the student health center is easy to access. the college needs better access to counseling services,MIXED
635,Oklahoma,"awareness is good, more staff and professors are acknowledging issues and being flexible",SATISFIED
636,Louisville,"i don't know what's provided, therefore i think the services and programs should work on being more visible.",DISSATISFIED
637,Florida International University,"from what i know, the school provides a good amount of resources for student mental health, including counseling. i am not aware of any aspects that need more attention. ",SATISFIED
638,Arizona State,honestly i have never needed nor heard of any mental health services around campus. maybe more advertising for existing programs would help ,DISSATISFIED
639,University of Arizona,"the basic counseling works cwell, but i think we need more support for the system so it doesn't take as long, peoploe can see more specialized counselors, etc. ",MIXED
640,SUNY at Purchase College,gettin counseling or someone to talk to is easy and quick i just wish it was easier to get diagnosed or getting medication,MIXED
641,UB,"theyre inaccessible, i can’t even get anyone in the mental health office to answer the phonr",DISSATISFIED
642,Brigham Young University-Provo,i'm not at all aware of what resources are available. it would be great if the university could do more to make students aware of what kind of supports they can find.,DISSATISFIED
643,Stony Brook University,"no, they just redirect me to my in network resources, but they are generally very racist places to be, so very unhelpful. i ended up going through my primary physician after months of wasting time with sbu.",DISSATISFIED
644,Yuba College,i am not sure i got mental health counseling through my insurance ,NEUTRAL
645,George Mason University,counseling and mental health workshops work well. possible promotion towards these mental health services to make them more well known could be helpful.,MIXED
646,Arizona State,"i feel as though we are told we have them which is great about telling us it is there, but does not give specifics about what they do, how they help. they seem as though it's like high school counselors, who can't help other than tell you ""it's okay, you'll get through it."" i've been told multiple times the asu counselors not good compared to an actual therapist and that's why i have never gone. ",DISSATISFIED
647,UB,"we need more accessibility to on-campus counseling services. what ub has right now is not sufficient, especially when they don't really help and are hard to reach. the limits on counseling appointments is not helpful either.",DISSATISFIED
648,Stanford,i am not aware of many of the services provided by my college,NEUTRAL
649,Hartnell College,i am not fully informed on the type of program that the school provides. ,DISSATISFIED
650,Crowder College,"we have a good on campus councilor that addresses almost all of the problems that the students at our campus report, but she does have a hard time getting to the root of the problem when the student is not entirely sure what the problem is.",MIXED
651,University of Wisconsin-Madison,"my school has a 24 hour crisis line and counseling services available to all students. however, the amount of appointments that a student can have and the wait time to get an appointment is a serious barrier. ",MIXED
652,University of Washington,"counseling is pretty good, though it would be better if it wasn't so short term.",MIXED
653,Arizona State,i have not used any mental health service so i do not know what needs more money,NEUTRAL
654,Binghamton,the on campus psychiatry department is good but oh man the ucc :/,MIXED
655,Florida International University,i have not had the opportunity to experience any of my college’s mental health & wellness services but i know that they are well equipped to accommodate students with mental health issues.,SATISFIED
656,LSU,"i’m not sure since i haven’t used them, but i have heard great things",NEUTRAL
657,Murray State University,get people liscensed to talk ab substance abuse so they don’t kick people out and have to go to places that cost money,DISSATISFIED
658,Lansing Community College,weekly mental health checking in by emails that state how to get help,SATISFIED
659,The University of Texas at San Antonio,i feel like not many people are aware that those services are provided.,DISSATISFIED
660,Hamilton College,the actual counseling center works well but they get booked so easily. also the college academically does not care about our mental health ,MIXED
661,Smith,"the therapists themselves are ok - although niche. i mean they work well for some. there’s not much diversity- and i know that smith says half are poc but when the total is 12, 50% of employees are still just 6. we need more therapists. it’s clear and fact that smith students carry more trauma than other students (and that’s just starting from identity) so it’s a no brainer that 12 isn’t enough. especially with an over enrolled school - we didn’t have enough therapists before and now we certainly don’t have enough. we took a mental health survey earlier that is apparently still being analyzed and i look at data all day. i’d be blind to still wonder if we need more therapists (especially when the weight of not having enough therapists can result in death)",DISSATISFIED
662,University of Wisconsin-Madison,"i like department specific mental health counseling (e.g., for engineers). there are not enough providers though to make the mental health services helpful.",DISSATISFIED
663,Lewis & Clark College,"i feel the college has notoriously let people down in regard to mental health services. it is difficult to receive ongoing counseling, many of the counselors that i've seen have been unfriendly or unhelpful, and it is extremely difficult to get a psychiatric diagnosis in order to receive accommodations. above all, the majority of the counselors are white women, which makes it difficult to describe my experiences to them as a person of color and they often provide culture-blind strategies for dealing with problems. john hancock has been the most helpful person to me, but he is unavailable for ongoing counseling appointments.",DISSATISFIED
