,School,Comment
390,Oklahoma State,"i have not used any of the campus resources concerning mental health directly, but my academic advisor is a huge help for me personally."
391,Campbell University,counselors have been a great help in assisting student about issues and stressors. athletes need more attention when it comes to mental health 
392,UB,"i think they do work well, i just wish there wasn't a limit on how many therapy appointments you can get in a semester"
393,Washington State,the only thing that works well are the handful of mental health professionals who actual care about the students and know what they're doing
394,Alabama,"the crisis line has been helpful to my friends that need it, but affordable access to on campus counseling services would help greatly "
395,Arizona State,"i haven’t interacted with my schools mental health resources; however, they’ve generally done well in terms to providing physical health resources like fitness classes"
396,Arizona State,n/a                       
397,Bates College,need more staff for the number of students using them. some of the counselors are not as helpful which deters students from using it
398,Arizona State,"emails were sent at the beginning of the semester and the end saying that ""you are almost done!"" or ""good luck with your semester!"""
399,Lehigh,"i have not personally used these services, but i see advertisements for them throughout the campus and assume these services do a good job"
400,Hamilton College,the actual counseling center works well but they get booked so easily. also the college academically does not care about our mental health 
401,Oregon,"i feel it is most important to be able to have a hotline for students to have open 24/7, run by students for students"
402,University of Rhode Island,i really have not pursued any of these devices so i’m not sure but i’ve heard it can be difficult to get an appontment
403,Ohio State,provided counseling but can only go once a month for a maximum of 6 months really sucks for people that need more help 
404,CUNY Hostos Community College,while i was home i felt that school was not worth it has i was home and not doing or going nothing much 
405,De Anza College,"i feel like they should make aware of what type of help is there from the college itself, and not having to search around."
406,Southern Methodist University,i have a few friends who use smu's sports therapists and like them. i think student-athletes need more attention (especially the rowing team).
407,New York University,everything needs more attention. i have a ton of friends with the same negative opinion and worse experiences with the nyu wellness center.
408,Northeastern,"being able to get support via telecounseling is great. however, the process was very protracted, and i think it should be more accessible."
409,Bucknell University,"there are just not enough services available, a long wait time is not helpful for some people and makes their mental health worse"
410,Ohio State,"i have limited experience with mental health services at osu. i would like to reach out for help, and talk to someone. "
411,Arizona State,i appreciate the counseling services and how they are very helpful. i think having a psychiatrist on campus would help even more. 
412,Arizona State,honestly i have never needed nor heard of any mental health services around campus. maybe more advertising for existing programs would help 
413,UCLA,i know students who would like someone to talk to but do not get replies back from the mental health services at school.
414,University of Arizona,"the quality of the services have been well but there needs to be more specialists available, especially in the resource centers on campus."
415,SUNY at Purchase College,gettin counseling or someone to talk to is easy and quick i just wish it was easier to get diagnosed or getting medication
416,University of Arkansas,i think urec has done an excellent job with incorporating more group fitness yoga classes. that seems to benefit so many people. 
417,Arizona State,the mental health service that is helping students is the coaches that we get. it helps students to always have someone to talk.
418,University of Wisconsin-Madison,"i like department specific mental health counseling (e.g., for engineers). there are not enough providers though to make the mental health services helpful."
419,Arizona State,"there are issues with certain individuals who run the counseling program and how they interact with their patients. at times, it feels inappropriate."
420,Wellesley,"i think some of the counselors are okay at what they do. they're not amazing, but i definitely feel comfortable with them "
421,Muhlenberg College,i dont use them much so i dont know which are working well. they need more attention to allowing more sessions for students
422,Murray State University,get people liscensed to talk ab substance abuse so they don’t kick people out and have to go to places that cost money
423,Utah,we only have one counselor at the asia campus. she's nice but not every person works well with the same type of counselor.
424,University of Washington,i think there needs to be an expansion. one quarter of counseling is not enough to develop a relationship with a therapist. 
425,UB,"we need more relaxation areas to relax and calm down, e.g. a dark room to breathe, do yoga, .... with reduced noise "
426,Virginia,they have a virtual counseling service which i think works well for people with anxiety about going into a physical counseling space. 
427,Youngstown State University,more breaks in terms of the semester. or at least longer ones. that's something that has really screwed up a lot of stuff.
428,George Mason University,counseling and mental health workshops work well. possible promotion towards these mental health services to make them more well known could be helpful.
429,Haverford College,while caps is doing a good job it is my understanding that they need additional resources to better serve the college community 
430,Oregon,i think that the thing that needs the most focus on is making sure that we have complete access to wellness services 24/7
431,UTEP,"i suppose the on campus counseling when i was struggling in school during the fall 2021 semester, not related to the pandemic "
432,Tufts,i think it has ok access and the service seems fine. my main issue is how hard it is to schedule sometimes. 
433,Arizona State,"the counselors are extremely nice and willing to talk, i just sometimes there were more qualified therapists that i could see long term."
435,Tufts,"mental health and wellness for bipoc folk. among this community, more support needs to be available for fgli students and international students"
436,UC Davis,telehealth is working well but we need more support on campus for students who want to  talk to someone in person
437,Arizona State,i can think of one thing that works well. but as an online student referrals to services near me would be great.
438,Arizona State,"i find it difficult to schedule appointments during certain times of the semester with counselors, since all seem to be booked often."
439,Fordham University,i think that fordham could definitely use more mental health professionals so that there isn’t such a long wait to see someone.
440,Arizona State,i do not currently use mental health services provided by my college. maybe if i heard more about it i would. 
441,Penn State,"as far as i’m aware, we have no mental health counciling. or really help of any kind for the student body. "
442,University of Nebraska-Lincoln,"i have not reached out yet, personally, but i know some people who have had relatively good luck with caps counseling. "
443,Utah State University,"the people who check in when given a tip are fantastic, it's the follow through and long-term resources that need work. "
444,Binghamton,"there seem to be many services, but many of the people running them are students who aren't sure of what they're doing."
445,Pitt,i think there needs to be more diverse psychologists that can help students. also workshops that should be required for mental health
446,GW,gw and professors need to be more understanding and accommodating to students struggling with mental health instead of telling them to quit.
447,U of Toledo,i think my actual success coach has been helping. but the resources or knowledge of them need to be talked about more
448,UT Dallas,i think we need to pay more attention into helping students especially girls boost self esteem or encourage students to join clubs
449,Florida International University,the counseling on-campus helps students out everyday. fiu should focus more on online counseling because the pandemic forces students to stay home
450,Penn State,"i haven't personally used any of the services, so i feel as though i am not qualified to answer this question. "
451,Oklahoma City Community College,"i was not aware that occc offered any mental health options, i think advertising it is something i would like to see"
452,College of DuPage,i would have never known that counseling actually would help with mental issues because it is more known for academic counseling. 
453,Mercer ,"they seem like they're trying their best but there just aren't enough counselors that can do the job that the students need
"
454,Texas A&M,i never used the campus resources so i could not say. i always see posters everywhere so i know that they exist.
455,UB,it needs to be easier to make an appointment and to to find ways for students to get regular therapy. 
456,Clemson,i am able to see a psychologist on campus. i think there needs to be more access for non student athletes
457,UConn,i think the activites that are held around campus. they send emails to invite students to talk about their mental health
458,Wellesley,"access to counselors is simple (from my experience), but more counselors are needed for general outreach before students are in crisis."
459,Florida Atlantic University,"instead of saying there are options, reduce the systemic pressure on students. including high tution, horrible parking, and no coursework help."
460,Miami University,there is a long waitlist to see a counselor but i think it’s good that the first sessions are free. 
461,Arizona State,"the counseling services are great, i used it throughout the pandemic. knowing how to connect with counseling needs to be addressed"
462,Arizona State,"it all has to do with rushing your assignments
one teacher was rude and didn't go over the drc paperwork with me"
463,Penn State,"we have a program called caps but hardly anyone knows it exists, and it is very hard to get an appointment."
464,Tufts,it’s good that we have psychologists but we need more staff with diverse identities and who can diagnose mental health conditions.
465,UIC,sometimes student groups hold events to kind of give the students a break from school work and have a little distraction
466,Arizona State,more attention to anonymous survey or check in with students so they can receive advice what they can do about it
467,CU Boulder,i think it could have more staff to tell everyone about what is mental health and when do you need it
468,Arizona State,"while it’s not talked about much in ways such as emails, professors often provide links to learn so i appreciate that."
470,Dartmouth,the activities and services provided by the mental health union run by students and the student wellness center are working great.
471,WashU,i’ve never used any of the services but most students find the services provided by the university as extremely unhelpful. 
472,UB,"unsure since i haven't used any of said services , although i have heard mental health services have ridiculous wait times."
473,UTM,"i think the on campus one is working well, but we’re not doing anything for our outreach centers (ie parsons) "
474,Arizona State,"i haven’t really had the chance to use asus mental health services, and i don’t even know how to begin. "
475,Oregon,from my experience everything is working well. i think they would benefit from having more people staffed to help the students.
476,University of Delaware,i have never struggled with mental health issues. i do not know what my college needs to do or works well.
477,Tufts,"i'm not really sure, having not needed to use said services myself and relying on outside therapy in times of crisis."
478,UIC,lower tuition and random fees. stop charging top rate prices for mediocre education in an environment with sub-par resources and staff.
479,Oregon,college counseling seems to be working well. people should talk directly to me more if they really are concerned about me.
480,UB,"i personally liked meeting with a counselor 1 on 1, i guess just expanding that overall would make things even better"
482,Mineral Area College,i think we have had a really good counselor who is always willing to talk to students who are struggling 
483,Santa Rosa Junior College,"the college doesn’t seem to promote it’s mental health facilities, so i don’t know enough about them to say anything good"
484,El Camino Community College District,"the group sessions for stress relief and meditation has worked great for me.
i believe more individual telehealth options would be great"
485,Alvin Community College,"i don't use the services, so i would not have a clue. but maybe improve group sessions or add them in."
486,Kalamazoo College,the counseling center of kalamazoo college is known amongst the students to be generally very bad at the services it provides
487,Brigham Young University-Provo,caps is a good start but it’s not enough. it’s too difficult to access or learn how to get help. 
488,Santa Clara University,we need more education  programs on what to do when someone we know is facing a mental health issue
489,UMich,a hotline would be good. when i've been struggling with my mental health before i just wanted to call someone.
490,UMich,"the 24 hour line is good
need more staff, the wait i heard can be a bit long
i've never gone though"
491,UConn,i think the teachers need to be more aware of what the students are going through and give more leniency.
492,Iowa State University,i know there is counseling available for students. i don't know about any other services or what exactly counseling entails.
493,University of Arizona,i would say the access to help during the day is beneficial however there needs to be 24 hour help
494,Arizona State,"i know there is an oncampus therapist, they can do a better job spreading the word about what’s available "
495,GW,in person counseling seems to be working well. the availability and the options for telehealth need to be expanded. 
496,Brandeis,accessing the bcc is complicated. transportation should be expanded to more locations to help people access off campus therapists 
497,University of Rhode Island,i think they have decent programs in place but not many people know about them or actually access them 
498,Ohio State,they send out a weekly newsletter and help reach out of ways you can feel closer to people right now
499,Boston College,"they are direly understaffed in terms of therapists, many of my friends struggle to make even a first appointment. "
500,Florida International University,our therapists need to be more responsible and make more of an effort to reach out to their patients 
501,Bowdoin,"free counseling is great, but it can still be hard to access and take a while to get  "
502,Arizona State,i haven’t tried the counselling services at asu but i’ve heard from others that at asu it’s not good 
503,Barnard,"i believe that for many, the addition of having 6 1 hour therapy sessions is helpful for short term help"
504,Arizona State,i like the availability of counseling and that it is at no charge — though have not used the service.
505,Virginia,"caps work okay, but office hours or open hours for students to get mental health help would be useful "
506,University of Minnesota,it is fairly easy to get in for an intake appointment. there are usually opening within a week or so.
507,Arizona State,"i have not used my college’s mental health services, so i do not feel qualified to answer this question. "
508,University of Minnesota,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.
509,Barnard,i think the overall attitude towards prioritizing mental health is good. i have not had much experience with individual services
510,Georgia,there are not enough counselors so i have heard it is hard to have appointments at a necessary frequency. 
511,University of Alabama at Birmingham,just communication. i am glad that the campus does tell us where and how to review counseling if needed. 
512,Florida,"uf has a “u matter we care” that works well, but it takes a long time to get in "
513,Brigham Young University-Provo,counseling and psychological services—that's the main program for mental health and any sort of need of the student to use.
514,Texas State University,"to be totally honest, i’ve heard nothing but negative things about the professionalism and effectiveness of ut mental health services."
515,Williams,"the fact that talkspace is offered is nice, the fact that iws cannot fill their staff properly is terrible"
516,WashU,"there are a lot of peer counseling resources which i like, but there should be more professional, in-person options."
517,Rowan,there needs to be more opportunity for individual therapy before people are in crisis.  not enough preventative measures.
518,Claremont McKenna College,the referral process works well but it should be even easier and there should be less wait time. 
519,Binghamton,i have yet to use services provided by the school. an anonymous hotline could be a good idea 
520,Utah State University,caps has been able to help me with counseling services and finding what is best for me right now.
521,Arizona State,"i'm not sure, i've had trouble figuring out what resources online students have, and i can't find very much."
522,Temple,nothing is really working well. more flexibility when it comes to attendance and mental health. drs is helpful though
523,IU,"reaching out to the students, not a lot of people are aware of the facilities provided by the university."
524,Stony Brook University,"none of them are working well, the mental health advisors do not take the mental health of students seriously"
525,Carnegie Mellon,"one on one therapy works well, but the limitations on how many sessions of therapy are allowed are harmful."
526,Johns Hopkins University,they have a good group of therapists. but they don’t provide a ton of different areas of specialty. 
527,UB,i haven't used any of the services at my school but many other students say there should be more
528,Georgia State University,i am not familiar with the services offered by the school except that i know there are some available.
529,Mt Holyoke,i think teaching students how to cope with stress in a healthy way instead of with alcohol or drugs.
530,Oklahoma,"if you can get into goddard for therapy, you’re golden. the wait to get into it though is ridiculous."
531,University of Arizona,"caps system seems to be working, i wish that they were more clear on their physical location operating hours"
532,Arizona State,the telehealth services appear to be working great and i am glad asu provides free therapy sessions for students.
533,Wake Forest,the counseling center is unable to meet students regularly for counseling. it is only effective for students in crisis.
534,Arizona State,"i haven’t used these services yet, but aspects of mental health that need more attention is group wellness activities."
535,University of Nevada-Reno,counseling center works well. something that should be improved is having someone that can prescribe mental health medication 
536,Arizona State,"i hardly hear about the resources available concerning mental health.they are either nonexistent, too few or not well advertised."
537,Dartmouth,"i have received a medication evaluation and several counseling sessions, both of which seem to be going well. "
538,University of Central Florida,caps does cool events with puppies. i think they need to have more professional therapists versuses low level ones.
539,UNC,caps is an option that is good for students but it is limited in the help it can provide.
540,Laramie County Community College,i think they are doing well about letting you know that there are resources available if you are struggling.
541,Houston Community College,"i honestly do not know, as all of my classes became online only. ive just been at home "
542,Iowa Central Community College,the mental health aspect needs more attention because us students still struggle even though we are continuing are education.
543,Cecil College,"different diagnosis, and help for them. some tips for struggling student who have weight on their shoulders from familu"
544,Lansing Community College,i think more attention should be brought to mental health and wellness in general (ex. how to manage stress)
545,Macomb Community College,i feel that the ability to speak with counselors on and off campus is working really well for students.
546,Nassau Community College,"i haven’t used any mental health services provided by the college, nor have i been informed of any. "
547,Anne Arundel Community College,the anxiety students feel when taking a midterm or final exam. especially if they’re at risk of failing. 
548,Ohio State,i have not used any services because the tele services were always completely full when i needed them.
549,University of Arizona,"n/a

i am unaware of what services are provided by the school because i have not sought them out."
550,UConn,i think the university does stuff well but i also think some other stuff they do not well
551,New York University,the whole counseling program is seriously understaffed and ineffective. did not feel supported or heard at all. 
552,UT Austin,there shouldn’t be a limit on the number of mental health service appointments a student can make 
553,Emory,the consistent emails let me know where i can reach out to if i needed help mentally. 
554,Hillsdale College,the counselors here are great and the professors really care and will listen to you talk about life.
555,Rochester,"i have no idea, but i have not heard of anyone having success with university mental health services"
556,Arizona State,"not really sure, the way they go about mental health services just doesn’t motivate me to use them"
557,Oregon,i don't know as i have not paid much attention to it due to being a remote student
558,University of Maryland-College Park,i couldn’t tell you what goes into what category. i just didn’t receive effective treatment from them. 
559,Arizona State,they shouldn’t set limits on how many weeks you can see a counselor just cuz staff is limited.
560,George Mason University,"the quality of caps is not great at mason, but it’s availability is good and is accessible "
561,Boise State University,"there are definitely known resources like counselors and group therapy, but it is difficult to get appointments. "
562,Stony Brook University,they have a lot but i don't know much about them in general since i don't use them.
563,UIC,i feel the use of tele-health has been expanded during covid and can make a good impact 
564,Washington State,i actually haven’t used them because i’m not used to ask for help when i have to 
565,Louisville,"i don't know what's provided, therefore i think the services and programs should work on being more visible."
566,Arizona State,i personally have not used the mental health facilities on campus because they have a poor reputation 
567,UB,"there are many psychological consultants available for appointment, and you can talk about your troubles at any time."
568,UWEC,having therapy dogs is very calming during stressful situations. i think more engaging options need to be available.
569,Wofford College,"i think our staff is great, just limited in time. appointments are booked out months in advance. "
570,University of Nevada-Reno,i think it would be helpful if they advertise any mental health support options they do have more.
571,UC Berkeley, none. never able to make an appointment with the psychiatrist or psychologist of the student health center
572,Arizona State,i have not attempted to use any mental health resource because i am primarily an online student 
573,Arizona State,i think the free counciling  has allowed more students to reach out and try services like that
574,Ithaca College,i'm not sure because i have not tried to receive mental health services or supports from my college.
575,Amarillo College,"i do not currently use the mental health resources offered, but i have contemplated it several times. "
576,Pierce College-Puyallup,"all aspects have worked great for me, i think more diversity in counseling staff would be helpful. "
577,Atlantic Cape Community College,i have not seen any or heard of any services that the college can offer for mental health.
578,Brigham Young University-Provo,the caps program is great but i think they could partner with off campus agencies for other help
579,Smith,"i like group therapies a lot, but we need more resources for getting help for serious mental illnesses."
580,Arizona State,i haven't had good experiences with the asu counseling services. i think they need better trained counselors.
581,University of Iowa,i wish there was more attention to social events within the dorms to help people make friends.
582,Rowan,i'm not sure. i haven't used any resources yet but i am currently looking into them 
583,Stanford,not very much. have heard from many people that the caps therapists are not helpful at all
584,Arizona State,the counseling center is very accessible and affordable. i wish there were more remote options for counseling.
585,UConn,honestly i don't know because i have not used the resources but pet therapy has been awesome.
586,UMass Amherst,the umass professors are actually terrible at being understanding or accommodating towards students struggling with mental health.
587,Oklahoma,i believe that direct contact white someone that can help is the best way to get better
588,UConn,"medical care and pharmacy services are good, but mental health is inaccessible and has bad rep "
589,Yale,"we get free therapy, but the therapists are known to be really bad and overwhelmed and unavailable."
590,Arizona State,"the daily health check is useless and is likely a legality, although i have enjoyed in-person counceling"
591,Siena College,i am not sure. i don’t feel like i am getting any help with my mental health
592,UB,i have no idea what works well. im too afraid to admit mental health problems to anyone.
593,Arizona State,need more counselors for the number of students. add a psychiatrist who can prescribe medications affordably. 
594,Lewis & Clark College,counseling. i have appreciated using therapy on campus and i know many others feel the same way.
595,UNC,"wellness information services and events are working well, however the therapists available and staffing need more funding."
596,UC Riverside,the well for sexual health supplies. they can add in person mental health services instead of online.
597,Pepperdine University,the free counseling/therapy sessions that my college provides i hear have been working well for my friends.
598,Arizona State,the appointment system for mental health services is bad. it doesn't represent the full range of services.
599,UC Davis,i don’t really know about any of them but i think some are conducted by graduate students
600,Lehigh,they are good at advertising options but the counselors just listen and don’t really provide solutions 
601,Michigan State University,"the online counseling offered works pretty well, but i did feel rushed to only do it temporarily."
602,Arizona State,"i am a fully online student and i wish i was able to use more telehealth services
"
603,Stony Brook University,"i have not visited or experienced any of the facilities.
i think caps and the animals are great."
604,Santa Clara University,i think the wellness chat that is offered commonly during the week by the cfs works well
605,Colorado State,i am not sure as i have not used the mental health services offered at my school
606,Arizona State,i believe that asu counseling service is working well at helping students with their mental health 
607,Arizona State,i am unaware of the services my college has at the moment as far as this goes
608,Boise State University,i personally struggle with anxiety so i wish there was more coverage or programs available for that
609,Macalester College,my understanding is that the barriers to getting mental health counseling at mac are annoyingly high 
610,Stony Brook University,"most people don’t receive any counseling or are referred, yet still pay the constant mandatory counseling fees"
611,Duke,i haven’t personally tried to use them but i have heard other students say support is weak
612,Arizona State,i have not used any mental health service so i do not know what needs more money
613,Carnegie Mellon,health services at cmu are temporary fixes for the stress that cmu’s workload puts on its students
614,Georgia,i think people need to work on handling their problems on their own if they can. 
615,San Joaquin Delta College,counseling as in just hearing about what student had to say really worked well for me personally
616,Notre Dame,"i think having counseling services available is working well, but diversity of counselors could use more development"
617,Rose State College,online counseling and i feel like the pressure and stress/anxiety needs to be paid more attention to
618,Northeastern Oklahoma A&M College,the therapist on campus is working well. the fact that no one knows she’s there isn’t well.
619,Bluegrass Community and Technical College,all of it needs attention you don't know about it unless you accidentally stumble upon it 
620,Patrick Henry Community College,i didn’t have issues with my mental health so i didn’t have to look it up. 
621,Cerritos College,just be you n do you no matter what you are and calm your mental health 
622,Virginia,"counseling services are offered by my college, but only a certain amount of therapy sessions are provided"
623,William & Mary,i feel a lack of accessibility to mental health aid because of the lack of availability appointments.
624,Brigham Young University-Provo,"caps and accessibility center are great, but i know people that got stuck on waitlists for ages"
625,New York University,i think it’s a great start to have free sessions but there shouldn’t be a cap
626,UConn,"need more scheduled communication, perhaps group sessions, people who are going through the same thing "
627,Emory,i have heard telehealth has been good because it’s easy to get an appointment quickly. 
628,Miss. State,i believe that the directions to the office and the site should be more publicized 
629,Arizona State,being able to visit a counselor at most times is really helpful in this aspect. 
630,Vermont,the counseling staff and system is overwhelmed and it’s hard to actually get help from it
631,Rowan,group therapy options are large on campus. both student run informal and ones run by professionals
632,University of Arizona,i am not sure as i have not utilized the mental health/wellness services on campus. 
633,Arizona State,"counseling and therapy need more attention, when i went it seemed like the therapist didn't care"
634,UT Dallas,the student health center is easy to access. the college needs better access to counseling services
635,New York University,"honestly there isn’t much. they talk a big game, but there’s no support in reality. "
636,Washington State,the phone hotlines are very beneficial. i think doing more outreach in classes is important 
637,Hamilton College,the peer counselors work well. more professional help could be improved for people who need it.
638,Colby,"i think diversity of staff definitely needs more attention, especially training on racial issues on campus."
639,University of Arizona,the caps is working well. it's good with counseling but struggling on diagnosing and giving medication
640,UCLA,"people would always talk about how caps is there for you, but it feels distant. "
641,Arizona State,they do a good job providing training with where to access and how to provide service.
642,Williams,"iws is great, but mental health needs to be more student-focused. get some peer groups going."
643,Florida State,"the mental health hotline works well

sometimes there is a waitlist for therapy appointments, which isn't great"
644,Boston University,"we have a varieties of counseling, but it seems intimidating for those not familiar with counseling."
645,University of Houston,the on-campus mental health center frequently organizes events to spread awareness of certain mental health issues.
646,Macalester College,i think there should be a way to see the same mental health counselor more consistently
647,UC Berkeley,"good at detailing metal health resources through email, need more attention on stress from intra-course workloads"
648,Virginia,caps is a thing but it doesn’t work well. just about the only thing we have.
649,Arizona State,i am not sure as i have not used my university for help with mental health.
650,Arizona State,i am an online student so i am unsure what services are offered on the campus.
651,Haverford College,"the services are good, but it can take a really long time to get an appointment"
652,UB,"generally the services are okay, but they gave been getting worse over the past few years"
653,UTEP,i have never felt comfortable enough to use these services although i do know they exist
654,UB,i don’t know due to the reason i have not had any personal experience with it
655,UB,"theyre inaccessible, i can’t even get anyone in the mental health office to answer the phonr"
656,Carnegie Mellon,the petting zoos and puppies are highly therapeutic. wish there were more of these opportunities 
657,Stony Brook University,caps can be an excellent resource to use but experiences can vary from person to person
658,Auburn,"i don’t really know, but i do like the fun social events offered by the school."
659,Purdue University-Main Campus,mental health action week and other purdue student government communications about mental health awareness and support.
660,UCLA,"the only service i have used is a therapy telesession, and it overall went pretty wellz."
661,UTEP,not sure i can answer this question as i have not asked for any help. 
662,Riverside City College,the in person counseling works best for me. it can improve on its promotion of services.
663,Union County College,i feel that there needs to be more advertisements for the services they provide to students.
664,Bergen Community College,gathering more people to know each other. as a stress reliever and help each other out
665,University of Alabama at Birmingham,awareness. like i feel like i know the resources my school has for mental health 
666,Brigham Young University-Provo,it is good that all students have access to counseling but the waitlist is insane. 
667,Binghamton,clubs prioritizing mental health is working well. bringing awareness to professional resources needs more attention.
668,University of Nevada-Reno,general attention should be increased for he availability of mental health services on campus. 
669,University of Arizona,mental health services are not the best. i had to find resources outside of school.
670,UMich,i heard it is impossible to get an appointment at the on campus services 
671,UT Austin,"cmhc is pretty good, but it seems confusing to a student who’s never used it."
672,UIC,having more sessions since it takes a while to talk to someone be known 
673,Columbia,they are bad. im paying 400 fee for them to just refer me off campus.
674,University of Wisconsin-Madison,i think st. paul’s catholic church on state street has really benefited my mental health.
675,Utah,there needs to be more therapists available and their services need to be more accessible
676,University of Maryland-College Park,having any type of therapist and someone to talk to about problems would be great
677,Manhattan College,i think maybe accepting that reaching out to other people about mental health is okay.
678,Williams,their mental health center is alright as a whole but it needs more diversity 
679,University of Wisconsin-River Falls,i think there are some good options but they are not advertised well at all
680,University of Washington,"counseling is pretty good, though it would be better if it wasn't so short term."
681,UC Riverside,i am not really sure since i use my own mental health and wellness services.
682,New York University,i wouldn’t know given that i haven’t sought out mental health help from my college.
683,Arizona State,"i like my college's wellness coaches, but availability is limited, which is a problem. "
684,Dartmouth,"wellness services are good, there should be a service where people reach out to students"
685,Temple,"i think the counseling service is a good option, but its accessibility is lacking "
686,Carnegie Mellon,due to my limited experience i am unable to give accurate info regarding this issue
687,Columbia,more attention needs to be paid to the connection between disabilities office and mental health
688,UC Riverside,"there was an event for basic needs recently, which was helpful in pointing out resources."
689,Arizona State,not sure i have not used the services because i honestly didn't know about them.
690,Colorado State,it takes way to long to schedule an appointment with a therapist or a counselor
691,Muhlenberg College,i'm not sure what support at the college is working well. i haven't used any.
692,University of Arkansas,trying to make an appointment with on campus counseling was really hard for me 
693,Daemen College,i havent used the schools services but have heard that the counsiling offered is poor
694,Howard University,more access and awareness for guys seeking mental health and being comfortable with expressing themselves.
695,University of Maryland-College Park,the service that is working well is  the counseling that is provided in campus
696,University of Illinois at Urbana-Champaign,"none, they suck at advertising wellness services aviabliety. and it difficult to get appointments "
697,Chandler-Gilbert Community College,i like the counseling sessions where you speak with another student who is on campus
698,Hartnell College,i am not fully informed on the type of program that the school provides. 
699,Florida International University,not sure. the counseling center worked well for me prior to covid when i attended.
700,California State University--Fresno,i really enjoy the wednesday wellnesses where they hang out fruit to keep us healthy
701,Baylor,the access to mental health resources but the awareness to these need more attention 
702,Texas A&M,i think the free mental health counselor is a really good thing for campus 
703,University of Nevada-Reno,the counseling center does great work but the hours are sometimes a bit limited.
704,GW,there are no resources (that i know of) to help students with eating didorders
705,Claremont McKenna College,counseling center is actually pretty decent this year. more options would be nice. 
706,University of Minnesota,i think it needs to more readily available not just like a 9-5 thing.
707,Youngstown State University,i am not sure what aspects are working well because i do not partake.
708,Rutgers,i’ve had multiple friends who used caps and thought the service was very helpful!
709,Virginia Polytechnic Institute and State University,"i guess they offer help, but i've heard the health center is rather costly"
710,Williams,it's nice that it's pretty easy to schedule appointments but sometimes they aren't available
711,Oklahoma,none. they need to have an easier and anonymous process to talk to counselors
712,UConn,"communication about resources, costs. making appointments online or getting a consultation / evaluation "
713,Ohio State,counseling is widely available but i’m not sure how to get in contact 
714,University of Massachusetts-Lowell,sometimes it is hard for students who are struggling to reach out for help
715,Rutgers,"free counseling and certain support groups. 

more wellness activities / interventions need more attention."
716,Arizona State,i have not utilized any so i cannot speak on them at the moment.
717,Arizona State,"availability & advertisement of services is working well. off campus-resources needs more attention 
"
718,Dartmouth,24 hour nurse line. the time length to be connected needs to be imprived
719,Oklahoma,"we have $10 counseling services, but they fill up quickly. expanding this is key"
720,Youngstown State University,i do not know how the services function as i have never required them.
721,UC Berkeley,i’d say they just need to be more easily accessible and open to students.
722,LSU,"i’m not sure since i haven’t used them, but i have heard great things"
723,University of Arizona,there needs to be more diversity in terms of counselors available to students. 
724,Arizona State,i have a coach that helps me set goals and that works pretty well
725,Arizona State,i think the counselors are good but a online thing would help as well.
726,Arizona State,"i don’t know, i’m an online student  who hasn’t utilized the services. "
727,Haverford College,not too sure. don't have a ton of exposure to on campus counseling 
728,Washington State,"none, i have tried again and again to make an appointment with no luck."
729,Arizona State,there needs to be a way to streamline classroom help for mental health issues.
730,University of New Mexico-Main Campus,i think my college is doing alright when it comes to mental health wellness.
731,UB,you can go and talk to any teacher and they will help you. 
732,Virginia Polytechnic Institute and State University,aspects that could be improved are availability. what they do well is crisis services.
733,Iowa State University,a lot of students have benefitted from the student counseling center on campus. 
734,Arizona State,i really don't know. i don't look to the campus for mental health help.
735,Arizona State,i haven’t utilized on-campus services so i don’t know what’s working or what isn’t.
736,UC Berkeley,how to understand when the right time is to seek help for mental health
737,Arizona State,counselors are always available. sometimes it is hard for students to reach out first.
738,Haverford College,"not sure... i talk to family and friends about personal issues, not the school"
739,University of Washington,"i don't know, i do not use mental health resources provided at my university."
740,Florida International University,more specific types of mental health issues rather than umbrella terms and diagnosis’s 
741,Kent State University,"they have counselors, but not enough to provide for the entire campus community. "
742,Mt Holyoke,able to register for a counseling session and get an appt within 7-10 days
743,Stony Brook University,"i only made appointments but they never offered help, so i don't know "
744,Stony Brook University,i like the addition of having animal interactions everything else i’m not sure about
745,Wesleyan University,"caps is kinda diverse, but we could use more people because they're so slow"
746,UMich,"caps is a nice resource to have, but it needs more attention and expansion"
747,George C Wallace Community College-Dothan,more one on one patience with students and more counselors and tutors to help
748,SOWELA Technical Community College,i'm not sure.  i have never talked to anyone about mental health. 
749,Southwestern College (1),i think there should be more awareness and encouragement made for the resources. 
750,Iowa Western Community College,i don’t live on campus. so i don’t use any mental health help. 
751,Ulster County Community College,i feel that the mental health services could be better expanded on campus 
752,Texas A&M,"not sure, i haven’t sought any resources from the university in this regard. "
753,UW Whitewater,i think that the graduate students at winther are doing a great job!
754,Rowan,"i am not sure, but students have often criticized rowan's mental health assistance"
755,Pepperdine University,i think the mental health groups (such as mindfulness) need more awareness 
756,Binghamton,the on campus psychiatry department is good but oh man the ucc :/
757,Oklahoma,"awareness is good, more staff and professors are acknowledging issues and being flexible"
758,UMass Amherst,group counseling is good. availability of individual counseling is dismal at best 
759,University of Arizona,"i haven't really tried to access mental health services, so i wouldn't know."
760,UConn,easier access to an actual therapist weather we pass the screening or not
